Club Name,Competition Name,Squad Size,Average Age Of Players,Market Value Of Club In Millions(£),Average Market Value Of Players In Millions(£),Market Value Of Top 18 Players In Millions(£)
Feyenoord Rotterdam,Eredivisie,28,23.6,100.58,3.59,96.21
Club Atlético River Plate,Liga Profesional,29,27.9,100.04,3.45,93.17
GNK Dinamo Zagreb,1.HNL,30,26.1,98.82,3.29,89.46
Galatasaray A.S.,Süper Lig,31,26.8,98.73,3.18,86.13
Hellas Verona,Serie A,26,26.9,98.42,3.79,88.74
1.FSV Mainz 05,Bundesliga,25,25.7,95.58,3.82,89.82
Rangers FC,Premiership,29,27.7,94.5,3.26,88.83
Udinese Calcio,Serie A,26,27.9,92.7,3.57,86.31
RCD Espanyol Barcelona,LaLiga,25,27.7,92.25,3.69,83.97
AS Saint-Étienne,Ligue 1,27,24.3,90.09,3.34,81.18
FC Girondins Bordeaux,Ligue 1,30,25.3,89.55,2.99,78.75
Levante UD,LaLiga,27,28.1,89.19,3.3,82.35
FC Metz,Ligue 1,29,25.3,89.19,3.08,79.74
Clube Atlético Mineiro,Série A,29,27.5,88.61,3.06,76.46
Lokomotiv Moscow,Premier Liga,29,25.0,87.32,3.01,77.85
Genoa CFC,Serie A,34,27.6,86.94,2.56,72.27
